id,price,nebenkosten,kaltmiete,location_postalCode,location_cityName,location_street,roomSize,description
1000015,14.3125,65,164,33604,Bielefeld Innenstadt,Ehlentruper Weg,16,"Hallo,in unserer Wg wird zum 01.03. ein Zimmer frei. Durch das große Fenster scheint die Morgensonne und das Zimmer ist generell sehr hell. Außerdem ist das Zimmer mit einem separaten Waschbecken und einem Kabuff ausgestattet, welches weiteren Stauraum bietet oder als begehbarer Kleiderschrank genutzt werden kann.Des Weiteren haben wir ein total gemütliches Wohnzimmer, in dem man entspannte Abende verbringen kann.In der eigenen Garage kannst Du Dein Fahrrad sicher abstellen und falls Du ein Auto hast, gibt´sgenügend Parkmöglichkeiten vor dem Haus.Die Wohnung bietet eine gute Bahnanbindung (ca. 3 Minuten Fußweg) und eine Vielfalt an Einkaufsmöglichkeiten in direkter Nähe (real, Plus, Aldi, Jibi).Neben all diesen Vorzügen, gehören noch vier total nette Mitbewohner/Innen zwischen 25 und 30 Jahren zum Wohnungsinventar.Wenn Du Lust auf Wg-Leben hast und über 24 Jahre alt bist, dann meld Dich doch einfach! Wir sind per Mail und abends auch telefonisch erreichbar.Liebe GrüßeAnni, Dörte, Tommi und Sanne"
1000022,12.5000,50,200,33602,Bielefeld INNESTADT,BUDDESTR.,20,"Du solltest ein nettes,verrücktes aber auch mal ruhiges Mädel und zwischen 20-30 Jahre alt sein..ich selbst bin 24Jahre und freue mich schon wenn Ihr das Zimmer besichtigen möchtet!!)Die wohnung liegt super zentral direkt in der stadt!Die WG ist(76qm,3ZKKB) sehr grosszügig geschnitten umsgenau zusagen:Du bekämst das grösste Zimmer neben dem Wohnzimmer gibt es auch noch eine grosse Wohnküche und im Sommer lädt sogar noch der Garten zum Grillen ein....also ruft an oder mailt mir bald würd mich freun LG Laura"
1000026,18.8462,70,175,97218,Würzburg Gerbrunn,Stefan-Krämer-Straße,13,"Nette 2er Wg sucht Mitbewohner für ihr 3. Zimmer, das ca. 13 m² ist. Die WG befindet sich in Gerbrunn und ist schön ruhig gelegen- also auch ideal zum Lernen. Du kannstdie nächste Haltestelle zu Fuß in ca. fünf Minuten erreichen und es gibt auch gute Einkaufsmöglichkeiten. Wir freun uns schon auf dich.Du kannst uns ab 19.00 Uhr erreichen."
1000031,14.4783,40,293,69214,Heidelberg Eppelheim,Hauptstr.,23,"Hallo! Ich gehe weg aus Heidelberg und muss deshalb aus meiner netten WG ausziehen.Das Zimmer ist sehr schön groß und hell, und hat einen kleinen Balkon. Die Mitbewohnerinnen, Kati (Lehramt) und Doreen (Physik) sind sehr nett und unkompliziert. Es gibt neben einer geräumigen und gut ausgestatteten Küche auch noch ein Zimmer mit Esstisch, wo man auch gemütlich zusammenhocken kann. Im Bad mit Badewanne isteine Waschmaschine. Im Keller gibt es einen Abstellraum. Die Wohnung liegt im Zentrum Eppelheims, und damit sind auch alle möglichen Geschäfte nicht weit. Mit dem Rad sind es zur Uni gut 15 Minuten, die Straßenbahnhaltestelle ist direkt um die Ecke. Bei den 333 € sind auch schon eine Telefon- und Internetflat inklusive. Wenn du Interesse hast, melde dich bei Kati:"
1000034,10.9615,65,220,31134,Hildesheim Mitte,Sprengerstraße,26,"2 helle Zi in 4er WG, 26m2, ab 01.05.08 frei"
1000036,9.3750,0,150,70197,Stuttgart West,Johannesstr.,16,"Hallo,fuer mein WG-Zimmer in Stuttgart West/Stadtmitte suche ich im oben gennannten Zeitraum einen Zwischenmieter. U-Bahn und Bus fahrendirekt vorm Haus ab, Einkaufsmoeglichkeiten sind vorhanden.Bin im Moment nur per e-mail zu erreichen!"
1000037,23.3333,0,350,81675,München Au-Haidhausen,Lucile-Grahn-Str.,15,"Das Zimmer ist mit einer großen (160 x 220) Schlafcouch, einem Schreibtisch und einem Regal möbliert. Für zusätzlichen Stauraum gibt es ein großes und sauberes Kellerabteil.Die Wohnung ist in einer ruhigen Seitenstrasse und sehr zentral gelegen, da sie sehr gut an den ÖPNVangebunden ist: Prinzregentenplatz (U4) ist 4 Minuten entfernt, Max-Weber-Platz(U4/5, Tram) ist 10 Minuten entfernt.Alle Geschäfte des täglichen Bedarfs sind in der direkten Umgebung zu finden: Tengelmann, Lidl, Rossmann, Bäckerei, Metzgerei. Was da noch fehlt, das gibt es am Max-Weber-Platz."
1000071,20.0000,0,300,58454,Witten/Herdecke Stockum,Liegnitzer Str.,15,Sehr nette Hausbewohnerin sucht sympatische Mitbewohnerin. 1fachmal anrufen :-)
1000072,14.1667,40,300,65185,Wiesbaden Innenstadt,Moritzstraße,24,"Schönes, helles Altbau-Zimmer (Höhe: ca. 3,65m), sehr gut geschnitten (Rechteckform: ca. 4,25m breit und 5,6m lang) in einer 105m² großen 4 Zimmer Wohnung und einer großen Wohnküche mitSpülmaschine und Waschmaschine. Flat für Telefon und Internet. (In Kürze erwarten wir die Jahresabrechnungen. Möglicherweise wird sich danach die Warmmiete um einen geringen Betrag erhöhen)"
1000075,8.2353,0,140,37083,Göttingen Innenstadt,Lotzestrasse,17,"Es handelt sich um ein Reihenendhaus, Anfang der Lotzestrasse (Nähe Neues Rathaus).Zu dem Zimmerkommen noch ca 12qm Gemeinschaftsfläche pro Person. Großes Wohnzimmer, Küche etc."
