id,price,nebenkosten,kaltmiete,location_postalCode,location_cityName,location_street,roomSize
1000015,229,65,164,33604,Bielefeld Innenstadt,Ehlentruper Weg,16
1000022,250,50,200,33602,Bielefeld INNESTADT,BUDDESTR.,20
1000026,245,70,175,97218,Würzburg Gerbrunn,Stefan-Krämer-Straße,13
1000031,333,40,293,69214,Heidelberg Eppelheim,Hauptstr.,23
1000034,285,65,220,31134,Hildesheim Mitte,Sprengerstraße,26
1000036,150,0,150,70197,Stuttgart West,Johannesstr.,16
1000037,350,0,350,81675,München Au-Haidhausen,Lucile-Grahn-Str.,15
1000071,300,0,300,58454,Witten/Herdecke Stockum,Liegnitzer Str.,15
1000072,340,40,300,65185,Wiesbaden Innenstadt,Moritzstraße,24
1000075,140,0,140,37083,Göttingen Innenstadt,Lotzestrasse,17
1000076,380,70,310,81379,München Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,Geltingerstr.,21
1000086,239,59,180,33615,Bielefeld Innenstadt,Arndtstr.,16
1000078,260,20,240,54294,Trier Trier-West,Brentanostr.,18
1000089,325,30,295,64289,Darmstadt Darmstadt,Schuknechtstr.,14
1000091,197,48,149,9112,Chemnitz Kaßberg,Walter- Oertel- Str.,15
1000102,290,17,273,54292,Trier Innenstadt,Lindenstraße,12
1000105,287,75,212,69117,Heidelberg Altstadt,Märzgasse,21
1000108,282,40,242,38114,Braunschweig Braunschweig,wendenring,25
1000125,280,0,280,5020,alzburg ,kendlerstraße,15
1000140,213,0,213,80805,München Schwabing-Freimann,Biedersteinerstr.,16
1000145,350,50,300,50678,Köln Altstadt-Süd,Achterstr.,24
1000147,430,80,350,69115,Heidelberg Weststadt,Gaisbergstr.,17
1000155,380,80,300,76137,Karlsruhe Südstadt,Nebeniusstr.,26
1000156,450,50,400,20255,Hamburg Eimsbüttel,am weiher,35
1000160,250,0,250,63065,Offenbach am Main Stadtmitte,Mittelseestr.,17
1000168,270,0,270,69120,Heidelberg Neuenheim,INF,15
1000173,226,43,183,48151,Münster Centrum,Von-Kluck-Straße,11
1000176,264,64,200,96052,Bamberg Innenstadt,Spiegelgraben,13
1000184,230,15,215,4318,Leipzig Reudnitz,Schirmerstr.,15
1000187,280,45,235,38106,Braunschweig Braunschweig,Gliesmaroder Str,18
1000188,264,64,200,96052,Bamberg Innenstadt,Spiegelgraben,13
1000191,310,0,310,54290,Trier Innenstadt,Wilhelm-Rautenstrauchstr.,13
1000192,202,60,142,49084,Osnabrück Widukindland,Bremer Straße,15
1000199,350,75,275,50969,Köln Zollstock,Ürziger Str.,14
1000205,230,0,230,94032,Passau Altstadt,Ort,18
1000211,325,30,295,69115,Heidelberg Weststadt,Hildastrasse,18
1000219,277,60,217,69124,Heidelberg Kirchheim,Heuauer Weg,13
